"","Area","Item","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"17234","India","Vegetables, fresh nes",23100000,20600000,22100000,21600000,20190000,2e+07,22920561,22600000,27030000,28630000,35340000,27180000,34740000,19172700,22123700,27480800,29146000,31402000,28006300,31724000,27557000,30459000,33213000,36838000,34271608
"17237","India","Walnuts, with shell",18000,23500,22000,28000,25000,29000,24000,30000,28000,31000,29000,30000,31000,34000,32000,36000,33000,37000,36000,38000,36000,40000,36000,43000,35000
"17240","India","Watermelons",205900,208000,210000,215000,220000,225000,250000,248526,255509,255000,271511,281805,292215,302616,314257,325136,336129,347219,358395,369654,380988,4e+05,4e+05,411937,422048
"17243","India","Wheat",55134496,55689504,57210100,59840000,65767400,62097400,69350200,66345000,71287504,76368896,69680896,72766304,65760800,72156200,68636896,69354496,75806704,78570200,80679400,80803600,86874000,94880000,93510000,95850000,86530000
"17250","India","Cereals,Total",193101196,201468404,208626900,211941400,210012500,218750900,223232400,226877000,236205608,234931192,242963796,206636708,236592700,229845504,239997492,242785588,260485904,266835300,250783392,267838308,287860000,293290000,294909510,296010000,284333000
"17254","India","Citrus Fruit,Total",2842697,2185000,3e+06,2991900,2765800,3178300,3833400,3685500,3964600,4416200,4171900,4524200,3623500,5021500,4620100,6139000,7145000,8015000,8623080,9638000,7464000,7922000,10090000,11146630,11685000
"17257","India","Coarse Grain, Total",25924700,36777700,31016800,29461400,28805100,34153500,30182200,31477000,30422200,31097400,33382900,26140100,38042900,32992200,33670500,34294100,40109200,40229100,34431000,43071700,43086000,40610000,42199510,42960000,41263000
"17260","India","Fibre Crops Primary",1895400,1580500,1554900,1675100,1616800,2075600,1983800,1765962,1896084,1880424,2128176,2050830,2025306,1857834,1952140,2013618,2012080,1912200,2153080,1905500,2076080,2025000,2052000,2071325,1886114
"17263","India","Fruit excl Melons,Total",28452313,30841341,34666651,37017325,36162295,38064204,41602180,44708060,45657070,43000880,44350818,43265663,46049080,48551077,51534327,57657002,62690259,68559012,68964875,75108344,73900297,75478206,82605088,88475992,87400279
"17266","India","Jute & Jute-like Fibres",1895400,1580500,1554900,1675100,1616800,2075600,1983800,1765962,1896084,1880424,2128176,2050830,2025306,1857834,1952140,2013618,2012080,1912200,2153080,1905500,2076080,2025000,2052000,2071325,1886114
"17268","India","Oilcakes Equivalent",9841920,11470444,11749937,11682113,12577211,13356651,13892507,13613789,12655338,11721078,11595611,9969809,13408616,13629311,16120069,15756713,18884996,16046861,16106854,19069875,18927180,19028380,19437560,17453070,14780621
"17271","India","Oilcrops Primary",6845036,7775480,7511301,7882691,8004857,8536285,8321818,8028929,7142522,7228044,6920426,6063374,7635043,7993546,9334866,8718571,10493912,8859050,8726424,10031933,10343760,9366920,10822970,9915369,8713923
"17275","India","Pulses,Total",14265000,12013400,12366200,13305000,14902800,13216700,14117800,13004500,15137600,13712800,12176500,12933600,12737000,13545300,12876100,13998800,14786700,13772200,14071500,17236300,17647000,16771100,18536300,20013200,17481500
"17279","India","Roots and Tubers,Total",21895300,25158200,25107300,24641900,24424200,25424600,30980900,25382300,29477100,32124800,30018500,32102300,29717900,35054500,37429900,38096000,37899100,44808000,45133600,45731800,51462000,51302300,53712600,55622310,53610000
"17283","India","Treenuts,Total",312590,328810,372000,378000,346640,446830,454000,390000,488000,551000,479000,5e+05,531000,569000,576000,609000,653000,702000,731000,651000,710600,765000,789000,796000,780000
"17286","India","Vegetables Primary",49967236,50470471,52958500,54049955,56530300,57260900,61454399,63789463,70997225,72283100,78795357,70020909,79243670,67082317,72723583,82695792,88533735,92215894,91441982,100655206,107055867,114332800,120992200,126578539,119485091
"17289","India","Vegetables&Melons, Total",49967236,50470471,52958500,54049955,56530300,57260900,61454399,63789463,70997225,72283100,78795357,70020909,79243670,67082317,72723583,82695792,88533735,92215894,91441982,100655206,107055867,114332800,120992200,126578539,119485091
"28291","Philippines","Agave fibres nes",3943,3944,3935,2780,3800,4000,3979,3991,4000,4006,4009,4010,4009,4006,4003,3998,3994,3989,3985,3982,3980,4000,4000,4000,3994
"28294","Philippines","Asparagus",2351,4269,5875,9821,10842,11761,11017,6254,6332,6429,8577,12566,15210,22367,25231,21938,14845,11891,7121,4637,3443,4106,3213,2939,2742
"28297","Philippines","Avocados",46123,46936,47105,47001,47023,46303,43700,37548,38820,38086,37404,37957,35125,30797,27755,25617,24975,24180,22763,22029,20993,20909,20397,20061,19995
"28300","Philippines","Bananas",3662305,3723887,3809372,3916386,4236253,4229142,4407665,4106698,4570640,4929570,5059360,5274826,5368977,5631250,6298225,6794564,7484073,8687624,9013186,9101341,9165046,9226768,8646417,5707074,5840124
