"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Azerbaijan","AZE","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1405.03832803262","1220.8199066874","1207.62182199979","1285.2567417372","1399.78127926657","1480.97233814264","1558.49245552992","1694.56603787652","1852.09060598311","2042.55938671299","2172.10151693672","2503.22026943","3221.19585126814","3775.08786675614","4428.09022608653","5175.61260172094","5492.93915114724","5304.01325647694","5466.03491468199","5767.81189882297","5968.21780007059","","","",
"Burundi","BDI","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229.760138885453","238.680101863703","231.693128696974","231.968330601702","224.524880779437","227.485316373002","216.561837807719","218.172934186789","215.846318894448","222.130312765032","225.461631127628","229.386614416119","227.961116820387","229.814138936122","231.846721834169","234.94160576233","239.343694808917","243.259575878121","226.09769409735","216.864633096878","",
"Belgium","BEL","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","20309.1806005153","21054.4063649362","22089.6745592524","23392.8603510655","24380.2195753939","23827.8747828876","25135.3302732726","25203.3133568356","25870.4204423369","26349.1554389527","27436.2328566236","27401.6738912946","27458.4552409111","27527.938068871","28267.7432294413","28813.0045804585","29344.1341558834","30079.0949585855","31394.5728647095","32284.6717379975","33244.1647563675","33848.3988254866","34221.1250277074","34081.8699929115","35327.5165278145","36010.0453569569","36554.2262900314","37859.259983025","38526.0217238751","39763.216685703","41202.2329472042","41106.0890945739","41590.2682846522","41810.7447745188","42914.8548285781","43505.2492685592","44380.9744939297","45556.3754832365","45998.6834903777","43645.5599548909","45778.9950967395","45001.1090550775","45411.3698453862","44933.1208883354","44938.1208565218","45084.5875391689","","",
"Benin","BEN","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","518.740162689685","527.664188608308","502.039504465405","517.571101489933","542.848797018797","561.558019659755","572.313798174724","566.625375191806","574.56116298348","576.728278201844","576.349078008719","554.190500736712","579.690743564756","591.119267526387","599.487876123697","552.814623498723","545.206973225376","557.832348545141","550.689635131384","571.802709026391","592.251783571078","633.441032600654","628.367916646469","579.778646631471","597.476316020822","629.711920908061","626.11083462451","599.784943373424","603.820547969739","562.714825727638","596.727267021168","603.914123300523","587.14700817387","612.32127485631","601.054569731236","617.771941971688","624.865298275955","645.423914247815","656.882458289828","672.749069950481","691.060103702271","705.768487187032","713.620507808486","715.621555645361","726.308274586967","720.604125473887","726.069308308764","746.195656321739","765.922124318593","759.576094592252","751.882047583363","757.135811185685","766.725821003163","799.685334723725","828.24991875993","825.12241789353","837.767847108711","",
"Burkina Faso","BFA","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","255.788943057967","254.52740319054","272.520831079217","276.281819553203","277.119494730686","273.751649240141","272.506967354813","273.569665791479","270.491404972438","286.752560186494","286.723581105639","306.350269744472","298.567407732678","309.722378858647","315.147004064791","311.643619706216","316.15679414082","337.946687274216","330.539954008239","317.436190163052","335.575790132649","353.39785978237","343.090914946183","353.070390114469","351.471660942531","340.98790091227","361.879433787358","352.845528660197","354.436473346709","348.964672402614","360.124230904422","391.612904098282","403.473068645123","420.942249984231","439.205960947355","431.032270019233","447.247594166817","454.747175992469","476.105072713552","482.941434230359","510.81930048088","528.560498547098","540.699608254302","562.839475704816","561.911982142787","560.370319769321","572.16500258239","602.444763290862","617.943591166909","612.50299795654","615.986722283786","","",
"Bangladesh","BGD","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","324.49981342475","348.850235648718","327.499287955531","337.781048193226","336.832494006509","351.174406205846","358.276008764091","352.316895001333","373.15122417245","371.123017814553","379.530981864432","386.75195568895","385.268833483367","391.732857713938","397.169124173108","395.922383719067","396.60725699331","407.914221790084","412.802464431331","426.651506811249","438.332341031443","447.300721946072","459.845838035453","468.575179923551","480.535319423203","495.231593561725","508.883556152049","526.357082038861","541.487704823279","557.103984031721","573.587472376734","596.053097586649","626.215758961535","666.691055800871","710.480821094254","752.114139802229","783.20357990959","819.045891579121","859.943458060961","909.510951751115","949.440300461304","983.182176683208","1034.39640727616","1089.12825205463","",
"Bulgaria","BGR","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","3164.35450792882","3331.75558601046","3407.11921184914","3528.89706276542","3650.6709513633","3742.94199228808","3888.78433122226","4098.00339455038","4503.99428433067","4357.12810592115","3821.66970782335","3481.00692173083","3556.05831516933","3526.98619359083","3596.08315709002","3670.03678519073","3733.39792829823","3746.35211933654","3937.42886143729","3754.0263655687","3919.09796519446","4272.52553364302","4712.29457298193","4970.1838508699","5313.5072309552","5692.95779385417","5962.89289146623","6161.95369881997","6627.08255299351","6583.60001061072","6700.70194668717","6793.85485262591","6966.87906659787","7004.35763599052","7235.39944984175","7455.54069300062","7945.99212886108","",
"Bahrain","BHR","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21399.7470564745","21562.4317389212","20783.849245642","18793.7025121623","18809.6121717994","17898.4606056117","18253.4890295873","19004.0940616548","18488.0717701378","21301.5529150995","","",
"Bahamas, The","BHS","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23077.4604393254","22048.0377750025","20697.1878836472","20111.3573253761","19518.2423474855","19776.6861887508","23673.5125185055","26081.8244890816","21204.711233885","22662.5014798919","23708.2377681153","24262.4525799708","24433.0914945995","24582.0174922719","23917.6972189692","23702.540934485","23676.971458225","23724.1626793599","23584.9900990204","23050.720394919","21513.0665086729","21270.5979514012","21112.4100512116","21484.0027729883","20953.6771726727","20209.1244245835","19427.3202145242","19176.9011088492","",
"Bosnia and Herzegovina","BIH","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4284.84315538893","4534.03981922632","4834.26897317882","4720.9318234553","4689.88731413845","4737.92195408833","4750.51897562383","4947.02103534215","5032.01139292721","5223.29007676641","5384.50563949526","",
